se_model_id,se_model_name,adaptation_type,immediate_ancestor,ancestor_rel_type_raw,max_lineage_length,base_model,se_task_id,se_task,se_activity_id,se_activity
QuixiAI/Devstral-Vision-Small-2507,Devstral-Vision-Small-2507,Fine-tuned,mistralai/Devstral-Small-2507,IS_FINETUNED_FROM,10,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,code generation,code generation,software implementation,software implementation
mradermacher/Devstral-Small-2507-Vision-GGUF,Devstral-Small-2507-Vision-GGUF,Quantized,EnlistedGhost/Devstral-Small-2507-Vision,IS_QUANTIZED_FROM,10,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,coding,coding,software implementation,software implementation
prithivMLmods/Viper-Coder-v0.1-GGUF,Viper-Coder-v0.1-GGUF,Quantized,prithivMLmods/Viper-Coder-v0.1,IS_QUANTIZED_FROM,10,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
prithivMLmods/Viper-Coder-v1.1,Viper-Coder-v1.1,Fine-tuned,prithivMLmods/Viper-Coder-v0.1,IS_FINETUNED_FROM,10,Qwen/Qwen2.5-14B,code generation,code generation,software implementation,software implementation
LeroyDyer/SpydazWeb_AI_HumanAI_RP,SpydazWeb_AI_HumanAI_RP,Merge,mistralai/Mistral-7B-Instruct-v0.2; LeroyDyer/Mixtral_BioMedical_7b; LeroyDyer/LCARS_TOP_SCORE; Locutusque/Hercules-3.1-Mistral-7B; KoboldAI/Mistral-7B-Erebus-v3; yanismiraoui/Yarn-Mistral-7b-128k-sharded; rvv-karma/BASH-Coder-Mistral-7B; Severian/Nexus-IKM-Mistral-Instruct-v0.2-7B; Locutusque/Hyperion-2.1-Mistral-7B; NousResearch/Hermes-2-Pro-Mistral-7B,IS_MERGE_OF,9,mistral-community/Mistral-7B-v0.2; axolotl-ai-co/tiny-mixtral-30m; NousResearch/Llama-2-7b-hf; meta-llama/Llama-3.2-1B; openai/whisper-large-v2; arcee-ai/Patent-Instruct-7b; TroyDoesAI/Abliterated-Merge-WIP-2; TroyDoesAI/Abliterated-Merge-WIP; TroyDoesAI/Abliterated-Merge-WIP-3; mistralai/Mistral-7B-v0.1; KoboldAI/Mistral-7B-Erebus-v3; Severian/Nexus-IKM-Mistral-Instruct-v0.2-7B,coding,coding,software implementation,software implementation
LeroyDyer/TemplateREPO,TemplateREPO,Merge,LeroyDyer/Mixtral_BioMedical_7b; LeroyDyer/LCARS_TOP_SCORE; LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0; LeroyDyer/SpydazWeb_AI_Swahili_Project; LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b; LeroyDyer/SpyazWeb_AI_DeepMind_Project; LeroyDyer/LCARS_AI_StarTrek_Computer; LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project; LeroyDyer/QuietStar_Project,IS_MERGE_OF,9,axolotl-ai-co/tiny-mixtral-30m; NousResearch/Llama-2-7b-hf; meta-llama/Llama-3.2-1B; openai/whisper-large-v2; arcee-ai/Patent-Instruct-7b; TroyDoesAI/Abliterated-Merge-WIP-2; TroyDoesAI/Abliterated-Merge-WIP; TroyDoesAI/Abliterated-Merge-WIP-3; KoboldAI/Mistral-7B-Erebus-v3; LeroyDyer/SpydazWeb_AI_Swahili_Project; LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b; LeroyDyer/SpyazWeb_AI_DeepMind_Project; LeroyDyer/LCARS_AI_StarTrek_Computer; LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project; LeroyDyer/QuietStar_Project,coding,coding,software implementation,software implementation
MuXodious/Dans-PersonalityEngine-V1.3.0-24b-absolute-heresy,Dans-PersonalityEngine-V1.3.0-24b-absolute-heresy,Fine-tuned,PocketDoc/Dans-PersonalityEngine-V1.3.0-24b,IS_FINETUNED_FROM,9,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,code generation,code generation,software implementation,software implementation
doktorb/spydazweb_ai_humanai_007.Q6_K.gguf,spydazweb_ai_humanai_007.Q6_K.gguf,Merge,LeroyDyer/Mixtral_BioMedical_7b; LeroyDyer/LCARS_TOP_SCORE; LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0; LeroyDyer/SpydazWeb_AI_Swahili_Project; LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b; LeroyDyer/SpyazWeb_AI_DeepMind_Project; LeroyDyer/LCARS_AI_StarTrek_Computer; LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project; LeroyDyer/QuietStar_Project,IS_MERGE_OF,9,axolotl-ai-co/tiny-mixtral-30m; NousResearch/Llama-2-7b-hf; meta-llama/Llama-3.2-1B; openai/whisper-large-v2; arcee-ai/Patent-Instruct-7b; TroyDoesAI/Abliterated-Merge-WIP-2; TroyDoesAI/Abliterated-Merge-WIP; TroyDoesAI/Abliterated-Merge-WIP-3; KoboldAI/Mistral-7B-Erebus-v3; LeroyDyer/SpydazWeb_AI_Swahili_Project; LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b; LeroyDyer/SpyazWeb_AI_DeepMind_Project; LeroyDyer/LCARS_AI_StarTrek_Computer; LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project; LeroyDyer/QuietStar_Project,coding,coding,software implementation,software implementation
freddm/Devstral-Small-2-24B-Instruct-2512-GGUF,Devstral-Small-2-24B-Instruct-2512-GGUF,Quantized,mistralai/Devstral-Small-2-24B-Instruct-2512,IS_QUANTIZED_FROM,9,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,code editing,code editing,software implementation,software implementation
prithivMLmods/Jolt-v0.1-GGUF,Jolt-v0.1-GGUF,Quantized,prithivMLmods/Jolt-v0.1,IS_QUANTIZED_FROM,9,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
prithivMLmods/Viper-Coder-v0.1,Viper-Coder-v0.1,Fine-tuned,prithivMLmods/Jolt-v0.1,IS_FINETUNED_FROM,9,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
smirki/WEBGEN-Devstral-24B-2-Scale,WEBGEN-Devstral-24B-2-Scale,Fine-tuned,mistralai/Mistral-Small-3.1-24B-Instruct-2503,IS_FINETUNED_FROM,9,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,coding,coding,software implementation,software implementation
UmbrellaInc/Parasite.NE-Beta-1B,Parasite.NE-Beta-1B,Merge,MuXodious/gemma-3-1b-it-absolute-heresy; UmbrellaInc/Parasite.NE-Alpha-1B,IS_MERGE_OF,8,google/gemma-3-1b-pt,code generation,code generation,software implementation,software implementation
async0x42/Dans-PersonalityEngine-V1.3.0-24b-exl3_4.0bpw,Dans-PersonalityEngine-V1.3.0-24b-exl3_4.0bpw,Quantized,mistralai/Mistral-Small-3.1-24B-Base-2503,IS_QUANTIZED_FROM,8,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,code generation,code generation,software implementation,software implementation
prithivMLmods/Elita-1-GGUF,Elita-1-GGUF,Quantized,prithivMLmods/Elita-1,IS_QUANTIZED_FROM,8,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
prithivMLmods/Jolt-v0.1,Jolt-v0.1,Fine-tuned,prithivMLmods/Elita-1,IS_FINETUNED_FROM,8,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
prithivMLmods/Megatron-Corpus-14B-Exp.v2-GGUF,Megatron-Corpus-14B-Exp.v2-GGUF,Quantized,prithivMLmods/Megatron-Corpus-14B-Exp.v2,IS_QUANTIZED_FROM,8,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
Fu01978/OLMo-2-1B-openai-gsm8k,OLMo-2-1B-openai-gsm8k,Fine-tuned,allenai/OLMo-2-0425-1B-Instruct,IS_FINETUNED_FROM,7,allenai/OLMo-7B,code completion,code completion,software implementation,software implementation
prithivMLmods/Elita-1,Elita-1,Fine-tuned,prithivMLmods/Megatron-Corpus-14B-Exp,IS_FINETUNED_FROM,7,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
prithivMLmods/Megatron-Corpus-14B-Exp.v2,Megatron-Corpus-14B-Exp.v2,Fine-tuned,prithivMLmods/Megatron-Corpus-14B-Exp,IS_FINETUNED_FROM,7,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
MaziyarPanahi/speechless-mistral-six-in-one-7b-orth-1.0-Mistral-7B-Instruct-v0.1-GGUF,speechless-mistral-six-in-one-7b-orth-1.0-Mistral-7B-Instruct-v0.1-GGUF,Quantized,MaziyarPanahi/speechless-mistral-six-in-one-7b-orth-1.0-Mistral-7B-Instruct-v0.1,IS_QUANTIZED_FROM,6,mistralai/Mistral-7B-v0.1; mistral-community/Mistral-7B-v0.2,code generation,code generation,software implementation,software implementation
Netsnake/SmolLCoder-1.7B-Instruct-Q4_K_M-GGUF,SmolLCoder-1.7B-Instruct-Q4_K_M-GGUF,Quantized,motexture/SmolLCoder-1.7B-Instruct,IS_QUANTIZED_FROM,6,HuggingFaceTB/SmolLM-135M,coding,coding,software implementation,software implementation
Pinkstack/PARM-2-Tiny-Instruct-1.7B-QwQ-o1-GGUF,PARM-2-Tiny-Instruct-1.7B-QwQ-o1-GGUF,Quantized,Pinkstack/PARM-1-Smollm2-1.7B-Lcot-PyTorch,IS_QUANTIZED_FROM,6,HuggingFaceTB/SmolLM-135M,code generation,code generation,software implementation,software implementation
RichardErkhov/MaziyarPanahi_-_calme-2.4-rys-78b-gguf,MaziyarPanahi_-_calme-2.4-rys-78b-gguf,Quantized,MaziyarPanahi/calme-2.4-rys-78b,IS_QUANTIZED_FROM,6,Qwen/Qwen2-72B,code generation,code generation,software implementation,software implementation
ZeroXClem/Qwen2.5-7B-Qandora-CySec,Qwen2.5-7B-Qandora-CySec,Merge,trollek/Qwen2.5-7B-CySecButler-v0.1; bunnycore/QandoraExp-7B,IS_MERGE_OF,6,Qwen/Qwen2.5-7B; happzy2633/qwen2.5-7b-ins-v3,code generation,code generation,software implementation,software implementation
ZeroXClem/Qwen3-4B-Wrist-On-Hermes,Qwen3-4B-Wrist-On-Hermes,Merge,ZeroXClem/Qwen3-4B-Hermes-Axion-Pro; TeichAI/Qwen3-4B-Thinking-2507-Kimi-K2-Thinking-Distill; TeichAI/Qwen3-4B-Thinking-2507-GPT-5.1-Codex-Max-Distill; nightmedia/Qwen3-4B-Element8; ZeroXClem/Qwen3-4B-Sky-High-Hermes; nightmedia/Qwen3-4B-Element18; TeichAI/Qwen3-4B-Thinking-2507-Gemini-3-Flash-VIBE; nightmedia/Qwen3-4B-Element8-Eva-Hermes-Heretic; Aimin12/Qwen3-4B-Thinking-2507-Distill-Claude-Opus-4.6-Reasoning-Abliterated,IS_MERGE_OF,6,Qwen/Qwen3-4B-Thinking-2507; Qwen/Qwen3-4B-Base; Qwen/Qwen3-4B-Instruct-2507,code generation; debugging,code generation; debugging,software implementation; software maintenance,software implementation; software maintenance
akameLLC/DeepHermes-3-Mistral-24B-Preview-BNB-NF4,DeepHermes-3-Mistral-24B-Preview-BNB-NF4,Quantized,NousResearch/DeepHermes-3-Mistral-24B-Preview,IS_QUANTIZED_FROM,6,Dans-DiscountModels/Mistral-Small-24B-Base-2501-ChatML,code generation,code generation,software implementation,software implementation
bunnycore/Llama-3.2-3B-ProdigyPlus,Llama-3.2-3B-ProdigyPlus,Merge,huihui-ai/Llama-3.2-3B-Instruct-abliterated; bunnycore/Llama-3.2-3B-Pure-RP; bunnycore/Llama-3.2-3B-Long-Think; bunnycore/Llama-3.2-3B-Sci-Think; bunnycore/Llama-3.2-3B-Prodigy; bunnycore/Llama-3.2-3B-CodeReactor,IS_MERGE_OF,6,meta-llama/Llama-3.2-3B-Instruct,code generation,code generation,software implementation,software implementation
prithivMLmods/Megatron-Corpus-14B-Exp,Megatron-Corpus-14B-Exp,Fine-tuned,prithivMLmods/Megatron-Opus-14B-Exp,IS_FINETUNED_FROM,6,Qwen/Qwen2.5-14B,code generation; data analysis,code generation; data analysis,software implementation,software implementation
Bifrost-AI/NextCoder-Mirage-sol-7B-GGUF,NextCoder-Mirage-sol-7B-GGUF,Quantized,Bifrost-AI/NextCoder-Mirage-sol-7B,IS_QUANTIZED_FROM,5,Qwen/Qwen2.5-7B,coding,coding,software implementation,software implementation
GOBA-AI-Labs/GOBA-OLMoE-Expert-Tuned,GOBA-OLMoE-Expert-Tuned,Quantized,allenai/OLMoE-1B-7B-0125-Instruct,IS_QUANTIZED_FROM,5,allenai/OLMoE-1B-7B-0924,code generation,code generation,software implementation,software implementation
MaziyarPanahi/calme-2.4-rys-78b,calme-2.4-rys-78b,Fine-tuned,MaziyarPanahi/calme-2.1-rys-78b,IS_FINETUNED_FROM,5,Qwen/Qwen2-72B,code generation,code generation,software implementation,software implementation
MaziyarPanahi/speechless-mistral-six-in-one-7b-orth-1.0-Mistral-7B-Instruct-v0.1,speechless-mistral-six-in-one-7b-orth-1.0-Mistral-7B-Instruct-v0.1,Merge,mistralai/Mistral-7B-Instruct-v0.1; uukuguy/speechless-mistral-six-in-one-7b-orth-1.0,IS_MERGE_OF,5,mistralai/Mistral-7B-v0.1; mistral-community/Mistral-7B-v0.2,code generation,code generation,software implementation,software implementation
Or4cl3-1/Daedalus_1,Daedalus_1,Merge,Or4cl3-1/SAM-Gemini-BLOOM-OPT-Gopher-Megatron-slerp; Or4cl3-1/code-slerp,IS_MERGE_OF,5,bigscience/bloom; mistral-community/Mistral-7B-v0.2; FacebookAI/roberta-base; facebook/bart-large; google/t5-v1_1-large,rapid prototyping; code generation,rapid prototyping; code generation,software design; software implementation,software design; software implementation
QuantFactory/Eurus-7b-kto-GGUF,Eurus-7b-kto-GGUF,Quantized,openbmb/Eurus-7b-kto,IS_QUANTIZED_FROM,5,mistral-community/Mistral-7B-v0.2,coding,coding,software implementation,software implementation
RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_70-quantized-deepsparse,Llama-2-7b-evol-code-alpaca-pruned_70-quantized-deepsparse,Quantized,RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_70,IS_QUANTIZED_FROM,5,meta-llama/Llama-2-7b,code generation,code generation,software implementation,software implementation
RichardErkhov/openbmb_-_Eurus-7b-kto-gguf,openbmb_-_Eurus-7b-kto-gguf,Quantized,openbmb/Eurus-7b-kto,IS_QUANTIZED_FROM,5,mistral-community/Mistral-7B-v0.2,coding; code generation,coding; code generation,software implementation,software implementation
RichardErkhov/rombodawg_-_Everyone-Coder-4x7b-Base-gguf,rombodawg_-_Everyone-Coder-4x7b-Base-gguf,Quantized,rombodawg/Everyone-Coder-4x7b-Base,IS_QUANTIZED_FROM,5,fblgit/UNA-TheBeagle-7b-v1; mistralai/Mistral-7B-v0.1; mistral-community/Mistral-7B-v0.2; dphn/dolphin-2.6-mistral-7b-dpo-laser,logging; debugging,logging; debugging,software maintenance,software maintenance
TheBloke/Code-13B-AWQ,Code-13B-AWQ,Quantized,ajibawa-2023/Code-13B,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/Code-13B-GGUF,Code-13B-GGUF,Quantized,ajibawa-2023/Code-13B,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/Code-13B-GPTQ,Code-13B-GPTQ,Quantized,ajibawa-2023/Code-13B,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/CodeUp-Llama-2-13B-Chat-HF-AWQ,CodeUp-Llama-2-13B-Chat-HF-AWQ,Quantized,juyongjiang/CodeUp-Llama-2-13b-chat-hf,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/CodeUp-Llama-2-13B-Chat-HF-GGML,CodeUp-Llama-2-13B-Chat-HF-GGML,Fine-tuned,juyongjiang/CodeUp-Llama-2-13b-chat-hf,IS_FINETUNED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/CodeUp-Llama-2-13B-Chat-HF-GGUF,CodeUp-Llama-2-13B-Chat-HF-GGUF,Quantized,juyongjiang/CodeUp-Llama-2-13b-chat-hf,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/CodeUp-Llama-2-13B-Chat-HF-GPTQ,CodeUp-Llama-2-13B-Chat-HF-GPTQ,Quantized,juyongjiang/CodeUp-Llama-2-13b-chat-hf,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/Python-Code-13B-AWQ,Python-Code-13B-AWQ,Quantized,ajibawa-2023/Python-Code-13B,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/Python-Code-13B-GGUF,Python-Code-13B-GGUF,Quantized,ajibawa-2023/Python-Code-13B,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/Python-Code-13B-GPTQ,Python-Code-13B-GPTQ,Quantized,ajibawa-2023/Python-Code-13B,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.2-1B; openai/whisper-large-v2,code generation,code generation,software implementation,software implementation
TheBloke/speechless-mistral-dolphin-orca-platypus-samantha-7B-AWQ,speechless-mistral-dolphin-orca-platypus-samantha-7B-AWQ,Quantized,uukuguy/speechless-mistral-dolphin-orca-platypus-samantha-7b,IS_QUANTIZED_FROM,5,mistralai/Mistral-7B-v0.1; mistral-community/Mistral-7B-v0.2,code generation,code generation,software implementation,software implementation
TheBloke/speechless-mistral-dolphin-orca-platypus-samantha-7B-GGUF,speechless-mistral-dolphin-orca-platypus-samantha-7B-GGUF,Quantized,uukuguy/speechless-mistral-dolphin-orca-platypus-samantha-7b,IS_QUANTIZED_FROM,5,mistralai/Mistral-7B-v0.1; mistral-community/Mistral-7B-v0.2,code generation,code generation,software implementation,software implementation
TheBloke/speechless-mistral-dolphin-orca-platypus-samantha-7B-GPTQ,speechless-mistral-dolphin-orca-platypus-samantha-7B-GPTQ,Quantized,uukuguy/speechless-mistral-dolphin-orca-platypus-samantha-7b,IS_QUANTIZED_FROM,5,mistralai/Mistral-7B-v0.1; mistral-community/Mistral-7B-v0.2,code generation,code generation,software implementation,software implementation
UmbrellaInc/Hunter.Beta-1B,Hunter.Beta-1B,Merge,Novaciano/Heretic_Fusion-Gemma3-1B; UmbrellaInc/T-Virus-1B,IS_MERGE_OF,5,google/gemma-3-1b-pt,code generation,code generation,software implementation,software implementation
ZeroXClem/Qwen3-4B-ChromaticCoder,Qwen3-4B-ChromaticCoder,Merge,Menlo/Jan-nano; GetSoloTech/Qwen3-Code-Reasoning-4B; prithivMLmods/Bootes-Qwen3_Coder-Reasoning; prithivMLmods/Lacaille-MoT-4B-Supreme2; Loom-Labs/Apollo-1-4B; prithivMLmods/Carinae-Qwen3-Radiation-4B; prithivMLmods/Kepler-Qwen3-4B-Super-Thinking; prithivMLmods/Octans-Qwen3-UI-Code-4B; prithivMLmods/Logics-Qwen3-Math-4B,IS_MERGE_OF,5,Qwen/Qwen3-4B-Base; Qwen/Qwen3-4B-Thinking-2507,code generation; code completion,code generation; code completion,software implementation,software implementation
Zoram/Llama-Primus-Nemotron-70B-Instruct-bnb-4bit,Llama-Primus-Nemotron-70B-Instruct-bnb-4bit,Quantized,trend-cybertron/Llama-Primus-Nemotron-70B-Instruct,IS_QUANTIZED_FROM,5,meta-llama/Llama-3.1-70B,information security,information security,software quality assurance,software quality assurance
catallama/CataLlama-v0.2-Instruct-SFT-DPO-Merged,CataLlama-v0.2-Instruct-SFT-DPO-Merged,Fine-tuned,catallama/CataLlama-v0.2-Instruct-DPO,IS_FINETUNED_FROM,5,meta-llama/Meta-Llama-3-8B,sentiment analysis,sentiment analysis,software maintenance,software maintenance
dipikakhullar/olmo-code-sft-7b-lr0.0005,olmo-code-sft-7b-lr0.0005,Adapter,allenai/OLMo-2-1124-7B-Instruct,IS_ADAPTER_OF,5,allenai/OLMo-7B,code completion,code completion,software implementation,software implementation
introvoyz041/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx-mlx-6Bit,Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx-mlx-6Bit,Quantized,nightmedia/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx,IS_QUANTIZED_FROM,5,Qwen/Qwen3-4B-Base,coding; code generation,coding; code generation,software implementation,software implementation
introvoyz041/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx-mlx-8Bit,Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx-mlx-8Bit,Quantized,nightmedia/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx,IS_QUANTIZED_FROM,5,Qwen/Qwen3-4B-Base,coding; code generation,coding; code generation,software implementation,software implementation
introvoyz041/Qwen3-Zero-Coder-Reasoning-0.8B-q8-mlx-mlx-8Bit,Qwen3-Zero-Coder-Reasoning-0.8B-q8-mlx-mlx-8Bit,Quantized,nightmedia/Qwen3-Zero-Coder-Reasoning-0.8B-q8-mlx,IS_QUANTIZED_FROM,5,Qwen/Qwen3-0.6B-Base,coding; code generation,coding; code generation,software implementation,software implementation
