base_model,n_derived_models,share_pct,cumulative_pct,rank,n_tasks,n_activities,tasks
Qwen/Qwen3.5-9B-Base,4,0.14,77.92,138,2,1,code generation; coding
codellama/CodeLlama-13b-Python-hf,4,0.14,78.06,139,3,1,code completion; code generation; coding
Qwen/Qwen3.5-35B-A3B-Base,4,0.14,78.2,140,2,2,code generation; debugging
bigcode/starcoderbase-1b,4,0.14,78.34,141,3,1,code completion; code generation; coding
google/codegemma-2b,4,0.14,78.48,142,1,1,code generation
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,4,0.14,78.62,143,3,2,code completion; code review; coding
deepseek-ai/DeepSeek-V3.2-Exp-Base,4,0.14,78.76,144,2,2,code generation; system design
Yhhhhhhhhh/deepseeker-coder-6.7b-base-yh,4,0.14,78.9,145,2,2,code generation; verification
baidu/ERNIE-4.5-21B-A3B-Thinking,4,0.14,79.04,146,2,1,code generation; coding
Qwen/Qwen2-7B,4,0.14,79.18,147,3,1,code generation; coding; data analysis
OpenLemur/lemur-70b-chat-v1,4,0.14,79.32,148,1,1,code generation
Qwen/Qwen2-1.5B,4,0.14,79.46,149,1,1,code translation
ibm-granite/granite-4.0-1b-base,4,0.14,79.6,150,1,1,code completion
ibm-granite/granite-4.0-micro-base,4,0.14,79.74,151,1,1,code completion
DavidAU/L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B,4,0.14,79.88,152,2,1,code generation; coding
meta-llama/CodeLlama-34b-hf,4,0.14,80.02,153,4,2,code completion; code generation; software testing; test generation
meta-llama/Llama-2-7b-chat-hf,4,0.14,80.16,154,3,1,code completion; code generation; coding
microsoft/Phi-3-medium-128k-instruct,4,0.14,80.3,155,2,1,code generation; coding
juyongjiang/CodeUp-Llama-2-13b-chat-hf,4,0.14,80.44,156,1,1,code generation
microsoft/phi-1,4,0.14,80.58,157,3,1,code generation; coding; data analysis
DavidAU/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B,4,0.14,80.72,158,2,1,code generation; coding
uukuguy/speechless-zephyr-code-functionary-7b,4,0.14,80.86,159,2,1,code completion; code generation
DavidAU/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-128k-ctx,4,0.14,81.0,160,2,1,code generation; coding
DavidAU/Qwen3-DND-LoveCraft-Master-of-Horror-Jan-v1-256k-ctx-8B,4,0.14,81.14,161,2,1,code generation; coding
internlm/AlchemistCoder-L-7B,4,0.14,81.28,162,2,1,code generation; coding
meta-llama/Llama-2-13b-hf,4,0.14,81.42,163,2,1,code generation; code search
KoboldAI/Mistral-7B-Erebus-v3,4,0.14,81.56,164,1,1,coding
meta-llama/CodeLlama-70b-hf,4,0.14,81.7,165,3,2,code completion; software testing; test generation
mradermacher/Qwen3-6B-Almost-Human-XMEN-X4-X2-X1-Dare-e32-GGUF,4,0.14,81.84,166,2,1,code generation; coding
ByteDance-Seed/Seed-Coder-8B-Base,4,0.14,81.98,167,3,1,code completion; code editing; code generation
openlm-research/open_llama_3b_v2,4,0.14,82.12,168,1,1,code generation
zai-org/GLM-4.5-Air,3,0.1,82.22,169,1,1,code generation
rednote-hilab/dots.ocr,3,0.1,82.32,170,1,1,code representation
Sao10K/L3-8B-Stheno-v3.2,3,0.1,82.42,171,4,2,code completion; code generation; verification; vulnerability detection
deepseek-ai/DeepSeek-R1,3,0.1,82.52,172,2,1,code completion; code generation
Qwen/Qwen2.5-VL-3B-Instruct,3,0.1,82.62,173,2,1,code search; code understanding
Qwen/Qwen2.5-VL-7B-Instruct,3,0.1,82.72,174,3,2,code generation; defect detection; verification
Alibaba-Apsara/DASD-4B-Thinking,3,0.1,82.82,175,2,2,code generation; debugging
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,3,0.1,82.92,176,2,1,code completion; coding
microsoft/Phi-4-mini-instruct,3,0.1,83.02,177,2,1,code generation; coding
pipizhao/Pandalyst_13B_V1.0,3,0.1,83.12,178,1,1,data analysis
DavidAU/Qwen3-Stargate-SG1-Uncensored-Abliterated-8B,3,0.1,83.22,179,2,1,code generation; coding
Qwen/Qwen3-235B-A22B-Thinking-2507,3,0.1,83.32,180,1,1,code generation
zai-org/GLM-4.6-FP8,3,0.1,83.42,181,1,1,code generation
DavidAU/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House,3,0.1,83.52,182,2,1,code generation; coding
DavidAU/Mistral-Magistral-Devstral-Instruct-FUSED-CODER-Reasoning-36B,3,0.1,83.62,183,2,1,code generation; coding
deepseek-ai/DeepSeek-Coder-V2-Base,3,0.1,83.72,184,1,1,code completion
pipizhao/Pandalyst-7B-V1.1,3,0.1,83.82,185,1,1,data analysis
p-e-w/gpt-oss-20b-heretic,3,0.1,83.92,186,2,1,code generation; coding
uukuguy/speechless-tora-code-7b-v1.0,3,0.1,84.02,187,1,1,coding
openlm-research/open_llama_3b,3,0.1,84.12,188,1,1,code generation
mradermacher/Qwen3-SG1-10S-III-INSTRUCT-Float32-256k-ctx-6B-i1-GGUF,3,0.1,84.22,189,2,1,code generation; coding
DavidAU/Qwen3-42B-A3B-Spock-Brutal-Recall-Instruct,3,0.1,84.32,190,2,1,code generation; coding
togethercomputer/LLaMA-2-7B-32K,3,0.1,84.42,191,1,1,code generation
tiiuae/falcon-7b,3,0.1,84.52,192,1,1,coding
mradermacher/Qwen3-DND-Darkest-BIG-Jan-Horror-v1-256k-ctx-8B-GGUF,3,0.1,84.62,193,2,1,code generation; coding
mradermacher/Mistral-2x24B-MOE-Power-Magistral-Devstral-Reasoning-Ultimate-44B-i1-GGUF,3,0.1,84.72,194,2,1,code generation; coding
mradermacher/Qwen3-2x6B-TNG-Deckard-Alpha-12B-LH-i1-GGUF,3,0.1,84.82,195,2,1,code generation; coding
EleutherAI/gpt-neo-1.3B,3,0.1,84.92,196,2,1,code generation; coding
replit/replit-code-v1-3b,3,0.1,85.02,197,2,1,code completion; code generation
internlm/JanusCoder-14B,3,0.1,85.12,198,1,1,code generation
HuggingFaceTB/SmolLM3-3B-Base,3,0.1,85.22,199,2,2,code generation; logging
Xwin-LM/XwinCoder-13B,3,0.1,85.32,200,1,1,code generation
Xwin-LM/XwinCoder-34B,3,0.1,85.42,201,1,1,code generation
01-ai/Yi-Coder-9B,3,0.1,85.52,202,7,3,code generation; coding; data analysis; design pattern; logging; sentiment analysis; system design
ibm-granite/granite-4.0-h-micro-base,3,0.1,85.62,203,1,1,code completion
01-ai/Yi-Coder-1.5B,3,0.1,85.72,204,2,1,code completion; code editing
ibm-granite/granite-4.0-h-tiny-base,3,0.1,85.82,205,1,1,code completion
WhiteRabbitNeo/WhiteRabbitNeo-13B-v1,3,0.1,85.92,206,2,2,code generation; cybersecurity
allenai/OLMo-2-1124-7B,3,0.1,86.02,207,2,1,code completion; code generation
Walmart-the-bag/Misted-7B,3,0.1,86.12,208,1,1,coding
dphn/dolphin-2.0-mistral-7b,3,0.1,86.22,209,1,1,code generation
dnhkng/RYS-XLarge,3,0.1,86.32,210,1,1,code generation
distilbert/distilgpt2,3,0.1,86.42,211,3,2,code generation; construction for security; vulnerability detection
internlm/JanusCoder-8B,3,0.1,86.52,212,1,1,code generation
ibm-granite/granite-4.0-h-small,3,0.1,86.62,213,1,1,code completion
LeroyDyer/Mixtral_AI_CyberTron,3,0.1,86.72,214,1,1,coding
Qwen/Qwen2-0.5B,3,0.1,86.82,215,4,2,code completion; code generation; code review; coding
LeroyDyer/Mixtral_BioMedical_7b,3,0.1,86.92,216,1,1,coding
LeroyDyer/QuietStar_Project,3,0.1,87.02,217,1,1,coding
deepseek-ai/deepseek-coder-7b-instruct-v1.5,3,0.1,87.12,218,2,2,code generation; debugging
internlm/internlm2-base-7b,3,0.1,87.22,219,1,1,data analysis
LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project,3,0.1,87.32,220,1,1,coding
QuixiAI/samantha-1.2-mistral-7b,3,0.1,87.42,221,1,1,code generation
zai-org/glm-4-9b,3,0.1,87.52,222,2,1,code completion; code generation
Orenguteng/Llama-3-8B-Lexi-Uncensored,3,0.1,87.62,223,2,1,code completion; code generation
ServiceNow-AI/Apriel-1.5-15b-Thinker,3,0.1,87.72,224,1,1,coding
lightonai/LateOn-Code-edge,3,0.1,87.82,225,1,1,code search
liminerity/M7-7b,3,0.1,87.92,226,1,1,coding
sentence-transformers/all-MiniLM-L6-v2,2,0.07,87.99,227,3,1,code generation; code search; data analysis
stabilityai/stablecode-completion-alpha-3b,2,0.07,88.06,228,2,1,code completion; coding
XuezhaOrg/Qwen3Novel-0.6B,2,0.07,88.13,229,2,1,code generation; coding
sentence-transformers/all-mpnet-base-v2,2,0.07,88.2,230,3,1,debugging; logging; sentiment analysis
WhiteRabbitNeo/Llama-3-WhiteRabbitNeo-8B-v2.0,2,0.07,88.27,231,3,2,code completion; code generation; cybersecurity
stabilityai/stablecode-completion-alpha-3b-4k,2,0.07,88.34,232,1,1,code completion
zai-org/GLM-5,2,0.07,88.41,233,1,1,code generation
allenai/OLMo-2-0425-1B,2,0.07,88.48,234,2,2,code completion; information security
stabilityai/stablecode-instruct-alpha-3b,2,0.07,88.55,235,1,1,code completion
tiiuae/Falcon3-10B-Base,2,0.07,88.62,236,2,1,code generation; data analysis
abacusai/Llama-3-Smaug-8B,2,0.07,88.69,237,2,1,code completion; code generation
aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored,2,0.07,88.76,238,3,1,code completion; code generation; data analysis
akjindal53244/Llama-3.1-Storm-8B,2,0.07,88.83,239,3,2,code completion; code generation; verification
baichuan-inc/Baichuan-7B,2,0.07,88.9,240,1,1,coding
unsloth/llama-3-8b-Instruct-bnb-4bit,2,0.07,88.97,241,4,2,code completion; code generation; software quality; testing automation
upstage/SOLAR-10.7B-v1.0,2,0.07,89.04,242,1,1,code generation
xlnet/xlnet-base-cased,2,0.07,89.11,243,2,1,sentiment analysis; software maintenance
bigcode/starcoder2-7b,2,0.07,89.18,244,2,1,code generation; code search
allenai/Olmo-3-1025-7B,2,0.07,89.25,245,1,1,code generation
answerdotai/ModernBERT-large,2,0.07,89.32,246,2,2,requirements specification; sentiment analysis
rombodawg/rombos_Replete-Coder-Llama3-8B,2,0.07,89.39,247,1,1,code translation
VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,2,0.07,89.46,248,2,1,code completion; code generation
mixedbread-ai/mxbai-rerank-base-v1,2,0.07,89.53,249,1,1,code search
refactai/Refact-1_6B-fim,2,0.07,89.6,250,2,1,code completion; coding
google-t5/t5-small,2,0.07,89.67,251,2,2,code summarization; logging
kakaocorp/kanana-1.5-8b-instruct-2505,2,0.07,89.74,252,1,1,coding
deepseek-ai/deepseek-coder-5.7bmqa-base,2,0.07,89.81,253,1,1,code completion
defog/llama-3-sqlcoder-8b,2,0.07,89.88,254,3,1,code completion; code generation; data analysis
facebook/bart-large,2,0.07,89.95,255,3,2,code generation; instruction generation; rapid prototyping
fblgit/UNA-TheBeagle-7b-v1,2,0.07,90.02,256,1,1,data analysis
fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser,2,0.07,90.09,257,1,1,data analysis
google-t5/t5-large,2,0.07,90.16,258,2,1,api recommendation; code generation
ibm-granite/granite-4.0-h-tiny,2,0.07,90.23,259,1,1,code completion
maldv/llama-3-fantasy-writer-8b,2,0.07,90.3,260,2,1,code completion; code generation
ibm-granite/granite-4.0-h-small-base,2,0.07,90.37,261,1,1,code completion
google/gemma-2-9b,2,0.07,90.44,262,2,2,code generation; system requirement
ibm-granite/granite-4.0-h-micro,2,0.07,90.51,263,1,1,code completion
ibm-granite/granite-4.0-h-350m-base,2,0.07,90.58,264,1,1,code completion
google/gemma-3-270m,2,0.07,90.65,265,2,1,code completion; code generation
google/gemma-3-27b-pt,2,0.07,90.72,266,3,2,code generation; coding; quality assurance
ibm-granite/granite-4.0-h-1b-base,2,0.07,90.79,267,1,1,code completion
llm-agents/tora-code-7b-v1.0,2,0.07,90.86,268,1,1,coding
meta-llama/CodeLlama-7b-Python-hf,2,0.07,90.93,269,2,1,code generation; coding
pipizhao/Pandalyst-7B-V1.2,2,0.07,91.0,270,1,1,data analysis
mlabonne/Marcoro14-7B-slerp,2,0.07,91.07,271,1,1,data analysis
openbmb/Eurus-70b-sft,2,0.07,91.14,272,2,1,code generation; coding
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,2,0.07,91.21,273,3,2,code generation; gui testing; verification
mrfakename/qwen3-0.6b-writing,2,0.07,91.28,274,2,1,code generation; coding
mradermacher/Qwen3-6B-Almost-Human-XMEN-X3-X4-X2-X1-Dare-Complex-i1-GGUF,2,0.07,91.35,275,2,1,code generation; coding
